1623902999999,38933.89000000,39050.00000000,38933.88000000,39038.99000000,77.38368300
1623903299999,39038.99000000,39050.00000000,38957.00000000,38985.08000000,43.31703200
1623903599999,38988.10000000,39035.83000000,38962.75000000,38982.47000000,38.42827600
1623903899999,38980.53000000,39018.48000000,38964.42000000,38983.82000000,32.59754100
1623904199999,38988.78000000,39026.08000000,38946.04000000,38946.05000000,32.77168200
1623904499999,38946.05000000,39012.15000000,38946.05000000,39006.22000000,33.42019700
1623904799999,39006.22000000,39076.82000000,38979.60000000,38979.63000000,89.33167000
1623905099999,38979.63000000,38991.91000000,38822.61000000,38834.62000000,98.42621500
1623905399999,38834.62000000,38840.80000000,38773.80000000,38834.52000000,64.45994400
1623905699999,38834.83000000,38882.99000000,38768.01000000,38792.14000000,54.89663300
1623905999999,38792.15000000,38834.50000000,38787.97000000,38805.07000000,36.48927000
1623906299999,38800.01000000,38874.11000000,38721.91000000,38737.87000000,69.56654700
1623906599999,38737.87000000,38750.00000000,38644.12000000,38723.45000000,81.40994400
1623906899999,38721.74000000,38837.96000000,38717.23000000,38799.37000000,38.32608600
1623907199999,38799.37000000,38849.00000000,38749.13000000,38749.14000000,28.03790200
1623907499999,38750.10000000,38798.76000000,38730.15000000,38739.00000000,35.77513700
1623907799999,38737.54000000,38807.42000000,38735.36000000,38753.62000000,56.65356400
1623908099999,38753.62000000,38839.83000000,38753.62000000,38808.29000000,62.60744400
1623908399999,38810.15000000,38852.00000000,38798.46000000,38798.51000000,40.65031500
1623908699999,38798.51000000,38802.90000000,38714.75000000,38796.87000000,75.69560800
1623908999999,38796.87000000,38836.19000000,38765.30000000,38810.18000000,43.46937900
1623909299999,38812.84000000,38833.93000000,38742.03000000,38811.33000000,71.90848500
1623909599999,38811.38000000,38827.46000000,38705.01000000,38707.55000000,56.87336500
1623909899999,38707.61000000,38778.40000000,38707.61000000,38766.96000000,56.47634600
1623910199999,38767.01000000,38815.71000000,38767.01000000,38782.65000000,45.46356500
1623910499999,38781.27000000,38829.82000000,38781.27000000,38826.26000000,21.51927700
1623910799999,38827.51000000,38827.52000000,38751.00000000,38793.56000000,26.31450600
1623911099999,38793.02000000,38960.84000000,38790.72000000,38897.40000000,74.08410100
1623911399999,38897.15000000,39190.00000000,38893.51000000,39112.03000000,245.72797200
1623911699999,39117.94000000,39147.52000000,39051.32000000,39067.52000000,88.71748000
1623911999999,39067.52000000,39148.81000000,39065.15000000,39090.65000000,74.16544800
1623912299999,39090.65000000,39266.66000000,39090.65000000,39196.60000000,142.95251000
1623912599999,39196.60000000,39196.60000000,39128.94000000,39164.03000000,64.08965400
1623912899999,39164.03000000,39289.79000000,39164.03000000,39235.36000000,137.76643700
1623913199999,39238.36000000,39272.15000000,39208.00000000,39243.15000000,49.85371300
1623913499999,39243.16000000,39290.38000000,39142.56000000,39148.11000000,88.66399400
1623913799999,39148.17000000,39399.00000000,39118.76000000,39380.60000000,188.14310200
1623914099999,39380.60000000,39380.60000000,39300.00000000,39311.90000000,85.27416600
1623914399999,39310.00000000,39310.56000000,39211.41000000,39239.39000000,73.28229600
1623914699999,39239.45000000,39277.19000000,39206.20000000,39237.18000000,89.55013900
